No,Reserves,np_2000_in,np_2020_in,pland_2000_in,pland_2020_in,forest_2000,loss_in,regrowth_in,new_frag2
1,Barranca de Metztitlán,3564,2148,61.20446187,69.13974704,631348.2,0.173589064,0.850153426,-0.019827926
2,Chamela-Cuixmala,938,511,84.47232891,80.24881748,388971,0.411131099,0.167472805,-0.022712122
3,El Triunfo,500,507,91.64095522,92.53254798,1141704.9,0.184236899,0.252294604,0.000700047
4,La Sepultura,8911,8620,57.81509307,64.6578589,1082016,0.411130192,1.176099763,-0.00163256
5,Lacandona,996,4520,96.34327083,86.55283087,3916323.9,0.558338636,0.02956372,0.179950992
6,Los Tuxtlas,6204,11565,34.51143086,36.27482637,566596.8,0.677646462,0.729844407,0.043384341
7,LPRC,1396,1185,86.71448909,85.73623092,1511932.5,0.046660713,0.162896397,-0.007551886
8,Mariposa Monarca,491,388,88.36259563,89.46612516,530451,0.084636765,0.092582641,-0.010478361
9,Región de Calakmul,180,953,99.60903406,98.93494011,14477485.5,0.045136809,0.008356388,0.21922853
10,Ría Lagartos,2070,1640,52.36657518,60.79166164,339985.8,0.206468808,0.971196896,-0.010376239
11,Selva El Ocote,1838,3202,79.27980965,73.2886177,844760.7,0.765071746,0.438235544,0.037236982
12,Sian Ka'an,1745,3868,90.62697988,88.17823706,3625290.9,0.13084333,0.057100961,0.061185289
13,Sierra de Huautla,2614,631,71.88974131,83.97582946,462499.2,0.075654932,0.941638286,-0.037794367
14,Sierra de Manantlán,2134,1533,83.81786183,85.58976896,1248605.1,0.204353062,0.20976256,-0.014062734
15,Sierra del Abra Tanchipa,116,250,92.22066592,93.32772552,215100,0.05465524,0.128780997,0.058077946
16,Sierra Gorda,3650,5594,87.25369141,86.93029677,3614273.1,0.239955791,0.266700575,0.026697742
17,Tehuacán-Cuicatlán,22054,12942,62.35589223,64.41183266,3235359.6,0.334382964,0.462704425,-0.020617949
